Product ID,Image Filename,Product Name,Category,Description
BAG ED 1,1.jpg,Green Floral Wire Support Sticks / Flower Sticks,event-decor,"Bundle of sturdy green-coated
                                    floral wire sticks designed to support and reinforce flower stems."
BAG FA 1,2.jpg,"Peach, Pink, and Cream Rose Table Runner",floral-arrangements,"A lush artificial floral
                                    runner featuring mixed peach roses and dense green foliage for table decor."
BAG FA 2,3.jpg,Artificial White Wildflower Hedge / Wall Border Panel,floral-arrangements,"A dense rectangular
                                    arrangement of white artificial wildflowers and green ferns ideal for wall or floor
                                    borders."
BAG FA 3,4.jpg,"Blue, Pink, and White Mixed Floral Runner / Floral Bed",floral-arrangements,"A vibrant mix of blue
                                    hydrangeas, white carnations, and pink lilies accented with silver-white leaf
                                    sprays."
BAG FA 4,5.jpg,Classic White and Cream Rose Floral Runner,floral-arrangements,"Elegant long-form arrangement
                                    of premium white roses and eucalyptus leaves for wedding aisles or tables."
BAG FA 5,6.jpg,Mixed Pink Peony and White Rose Runner with Dried Palm Fans,floral-arrangements,"Luxury floral runner featuring
                                    deep pink peonies, white roses, and metallic gold palm fan accents."
BAG FA 6,7.jpg,Mixed Pink and Hot Pink Rose Flower Wall Panel,floral-arrangements,"A vibrant high-density
                                    arrangement of hot pink, soft pink, and peach roses with dark green leaves."
BAG TGH 1,8.jpg,Artificial White Mogra (Jasmine) Hanging Garlands / Laris,traditional-garlands,"Traditional long hanging
                                    strings of artificial white jasmine buds used for festive and wedding backdrops."
BAG TGH 2,9.jpg,Artificial Marigold (Genda Phool) and Mango Leaf Toran / Garland,traditional-garlands,"Heavy artificial marigold
                                    garland featuring alternating thick bands of yellow and white flowers with bell
                                    accents."
BAG TGH 3,10.jpg,Multi-Color Orchid and Wisteria Hanging Floral Vines,traditional-garlands,"Layered strands of artificial
                                    orchids and small blossoms in white, pink, and magenta for vertical floral walls."
BAG TGH 4,11.jpg,Mixed Festive Marigold and Rose Petal Hanging Garlands,traditional-garlands,"A vibrant assortment of
                                    layered artificial floral garlands in pink, white, and yellow for festive backdrops."
BAG TGH 5,12.jpg,White Mogra Jasmine Garland with Pink Lotus Bud Tassels,traditional-garlands,"Elegant white jasmine-style
                                    strings finished with vibrant pink lotus bud tassels and green accents."
BAG TGH 6,13.jpg,Long White Jasmine String Garland with Pink Lotus Bud Base,traditional-garlands,"Traditional 3-foot long
                                    artificial white floral strings featuring decorative pink lotus buds at the base."
BAG TGH 7,14.jpg,Yellow Marigold and White Jasmine Festive Toran / Garland,traditional-garlands,"A thick, high-quality
                                    artificial garland with alternating yellow marigold and white jasmine bands and gold
                                    bell finishes."
BAG TGH 8,15.jpg,Thick White Jasmine Flower Garland with Pink Lotus Bud Border,traditional-garlands,"Compact 2-foot artificial
                                    white jasmine-style garland accented with bright pink lotus bud ends."
BAG TGH 9,16.jpg,Layered Yellow Marigold and White Mogra Striped Garland,traditional-garlands,"Bold artificial garland
                                    featuring alternating sections of fluffy yellow marigold and white jasmine blossoms."
BAG TGH 10,17.jpg,Tiered White Jasmine Garland with Pink Lotus Bud Segments,traditional-garlands,"A decorative hanging featuring
                                    multiple tiers of bright pink lotus buds separated by white jasmine-style bands."
