Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Arrangement (product.metafields.shopify.arrangement),Celebration type (product.metafields.shopify.celebration-type),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Fencing components (product.metafields.shopify.fencing-components),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Garland style (product.metafields.shopify.garland-style),Lighting options (product.metafields.shopify.lighting-options),Material (product.metafields.shopify.material),Material treatment (product.metafields.shopify.material-treatment),Plant container type (product.metafields.shopify.plant-container-type),Plant material (product.metafields.shopify.plant-material),Plant name (product.metafields.shopify.plant-name),Planter material (product.metafields.shopify.planter-material),Shape (product.metafields.shopify.shape),Stem length (product.metafields.shopify.stem-length),Suitable location (product.metafields.shopify.suitable-location),Suitable space (product.metafields.shopify.suitable-space),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aaar,aaar,"",Blossom Art Galleries,Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.03PM.jpg?v=1778790885,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.06PM_1.jpg?v=1778790885,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.06PM.jpg?v=1778790885,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.07PM_1.jpg?v=1778790885,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.07PM.jpg?v=1778790885,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.09PM_1.jpg?v=1778790885,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.09PM.jpg?v=1778790885,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.10PM_1.jpg?v=1778790885,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.10PM_2.jpg?v=1778790885,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.10PM.jpg?v=1778790885,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.12PM.jpg?v=1778790885,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.13PM_1.jpg?v=1778790885,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0813/8561/9682/files/WhatsAppImage2026-05-12at6.21.13PM_2.jpg?v=1778790885,13,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
