Product ID,Image Filename,Product Name,Category,Description
BAG 1,1.jpg,Green Floral Support Sticks,floral-supplies,Bundle of sturdy green-coated floral wire sticks designed to support and reinforce flower stems.
BAG 2,2.jpg,Peach and Cream Rose Runner,floral-arrangements,A lush artificial floral runner featuring mixed peach roses and dense green foliage for table decor.
BAG 3,3.jpg,White Wildflower Hedge,floral-decor,A dense rectangular arrangement of white artificial wildflowers and green ferns ideal for wall or floor borders.
BAG 4,4.jpg,Blue and White Floral Garland,event-decor,"A vibrant mix of blue hydrangeas, white carnations, and pink lilies accented with silver-white leaf sprays."
BAG 5,5.jpg,Classic White Rose Runner,floral-arrangements,Elegant long-form arrangement of premium white roses and eucalyptus leaves for wedding aisles or tables.
BAG 6,6.jpg,Pink Peony and Gold Fan Runner,event-decor,"Luxury floral runner featuring deep pink peonies, white roses, and metallic gold palm fan accents."
BAG 7,7.jpg,Mixed Pink Rose Panel,floral-decor,"A vibrant high-density arrangement of hot pink, soft pink, and peach roses with dark green leaves."
BAG 8,8.jpg,White Mogra Jasmine Strings,hanging-decorations,Traditional long hanging strings of artificial white jasmine buds used for festive and wedding backdrops.
BAG 9,9.jpg,Yellow and White Marigold Toran,hanging-decorations,Heavy artificial marigold garland featuring alternating thick bands of yellow and white flowers with bell accents.
BAG 10,10.jpg,Multi-Color Orchid Hanging Vines,hanging-decorations,"Layered strands of artificial orchids and small blossoms in white, pink, and magenta for vertical floral walls."
BAG 11,11.jpg,Festive Multi-Color Floral Garlands,hanging-decorations,"A vibrant assortment of layered artificial floral garlands in pink, white, and yellow for festive backdrops."
BAG 12,12.jpg,White Mogra and Pink Lotus Tassel Garland,hanging-decorations,Elegant white jasmine-style strings finished with vibrant pink lotus bud tassels and green accents.
BAG 13,13.jpg,3 Feet Lotus Bud Garland,hanging-decorations,Traditional 3-foot long artificial white floral strings featuring decorative pink lotus buds at the base.
BAG 14,14.jpg,Yellow Marigold and White Jasmine Toran,hanging-decorations,"A thick, high-quality artificial garland with alternating yellow marigold and white jasmine bands and gold bell finishes."
BAG 15,15.jpg,2 Feet Lotus Bud Garland,hanging-decorations,Compact 2-foot artificial white jasmine-style garland accented with bright pink lotus bud ends.
BAG 16,16.jpg,Yellow and White Marigold Stripe Garland,hanging-decorations,Bold artificial garland featuring alternating sections of fluffy yellow marigold and white jasmine blossoms.
BAG 17,17.jpg,Tiered Pink Lotus Garland,hanging-decorations,A decorative hanging featuring multiple tiers of bright pink lotus buds separated by white jasmine-style bands.
BAG 18,18.jpg,Magenta and White Striped Garland,hanging-decorations,Vibrant magenta and white artificial floral garland with delicate green leaf separators for a striped effect.
BAG 19,19.jpg,Red and White Patterned Garland,hanging-decorations,"Traditional red and white artificial blossom garland designed with clean, alternating color blocks."
